시도,연도,지역별_의료폐기물,병의원_종합병원,병의원_일반병원,병의원_의원,병의원_요양병원,특수병원_결핵,총_병의원수,고령인구비율,65세이상인구,전체인구,상급종합병원,종합병원,병원,의원,치과병원,치과의원,한방병원,한의원,요양병원,정신병원,총_의료기관수,대형병원_비율,인구만명당_의료기관수,인구만명당_병의원수,인구만명당_의료폐기물,고령인구만명당_의료폐기물,의료기관당_의료폐기물,연도_정규화,연도_제곱,의료인프라_강도,시도_강원,시도_경기,시도_경남,시도_경북,시도_광주,시도_대구,시도_대전,시도_부산,시도_서울,시도_세종,시도_울산,시도_인천,시도_전남,시도_전북,시도_제주,시도_충남,시도_충북
강원,2023,5145.32,16.0,36.0,797.0,31.0,0.0,880.0,24.0,366555.0,1527807.0,8.0,54.0,146.0,3179.0,12.0,1708.0,24.0,1507.0,121.0,36.0,6795.0,0.009123013537374927,44.475512941097925,5.759889829016362,33.677814017084614,140.3696580322189,0.757110064743967,1.0,1.0,3530.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
경기,2011,21286.5,64.0,281.0,7058.0,304.0,0.0,7714.0,9.0,1072462.0,11937415.0,20.0,192.0,1040.0,22673.0,153.0,13134.0,135.0,9517.0,747.0,0.0,47611.0,0.004452658993531043,39.883844199100054,6.462035541195476,17.83175000617805,198.48255695772903,0.4470826682348988,0.0,0.0,24677.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
경기,2012,24810.399999999998,64.0,281.0,7058.0,304.0,0.0,7714.0,9.4,1135242.0,12093299.0,20.0,193.0,1104.0,23019.0,152.0,13465.0,131.0,9862.0,854.0,0.0,48800.0,0.004364664658511096,40.3529260295309,6.378739167864782,20.51582450744003,218.54723486269887,0.5083994180447121,0.08333333333333333,0.006944444444444444,25121.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
경기,2013,26284.030163,64.0,281.0,7058.0,304.0,0.0,7714.0,9.8,1195523.0,12234630.0,20.0,200.0,1144.0,23405.0,146.0,13835.0,129.0,10225.0,963.0,0.0,50067.0,0.0043940241271870255,40.92236544954772,6.3050537695050854,21.483306126135403,219.85382266171374,0.5249666486178797,0.16666666666666666,0.027777777777777776,25581.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
경기,2014,28775.010535,64.0,281.0,7058.0,304.0,0.0,7714.0,10.2,1254445.0,12357830.0,20.0,205.0,1129.0,23933.0,129.0,14277.0,132.0,10663.0,1087.0,0.0,51575.0,0.004362494183341089,41.7346734823185,6.242196243191564,23.28484089439651,229.38439337715084,0.5579147381534048,0.25,0.0625,26096.5,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
경기,2015,32057.000959,58.0,288.0,6139.0,272.0,0.0,6757.0,10.5,1318882.0,12522606.0,20.0,209.0,1161.0,24531.0,134.0,14699.0,149.0,11019.0,1123.0,0.0,53045.0,0.004317007879953248,42.35939388334984,5.395841728151472,25.599304936208963,243.06193396376628,0.6043245665837198,0.3333333333333333,0.1111111111111111,26750.5,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
경기,2016,35502.972236,61.0,288.0,6377.0,271.0,0.0,6997.0,10.8,1374475.0,12716780.0,20.0,219.0,1147.0,25220.0,135.0,15219.0,171.0,11332.0,1125.0,0.0,54588.0,0.004378171426477862,42.92596081712509,5.502179010724412,27.918209040338827,258.30205886611253,0.6503686133836487,0.4166666666666667,0.17361111111111113,27438.5,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
경기,2017,36328.55057,61.0,271.0,6608.0,290.0,0.0,7230.0,11.4,1467835.0,12873895.0,20.0,221.0,1078.0,26130.0,139.0,15709.0,177.0,11791.0,1253.0,0.0,56518.0,0.0042640527964047485,43.90124356303978,5.616015976516819,28.21877184022396,247.49750871181024,0.6427670441798333,0.5,0.25,28249.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
경기,2018,39582.961236,63.0,265.0,6815.0,304.0,0.0,7447.0,11.9,1551801.0,13077153.0,20.0,227.0,1073.0,26939.0,142.0,16148.0,200.0,12139.0,1324.0,0.0,58212.0,0.0042430384965557524,44.51427615781508,5.69466458027982,30.268791101549397,255.07755979020507,0.6799677260405752,0.5833333333333334,0.34027777777777785,29062.5,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
경기,2019,42705.0,64.0,278.0,7058.0,314.0,0.0,7714.0,12.5,1651341.0,13239666.0,20.0,233.0,1096.0,27947.0,148.0,16685.0,233.0,12502.0,1373.0,0.0,60237.0,0.004200006640326704,45.49737130830944,5.826430968877916,32.255345414302745,258.6080040403527,0.7089378797436834,0.6666666666666666,0.4444444444444444,30117.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
경기,2020,35947.6,67.0,288.0,7245.0,319.0,0.0,7919.0,13.2,1775315.0,13427014.0,20.0,244.0,1139.0,28774.0,148.0,17135.0,328.0,12669.0,1400.0,0.0,61857.0,0.004267839244721782,46.06906643576897,5.897811680244022,26.772594413024372,202.48575604892653,0.5811309773998512,0.75,0.5625,31030.5,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
경기,2021,45241.7,67.0,277.0,7478.0,320.0,0.0,8142.0,13.9,1881464.0,13565450.0,20.0,248.0,1119.0,29621.0,153.0,17690.0,410.0,12893.0,1276.0,183.0,63613.0,0.004212909108057975,46.893394616470516,6.002012465491377,33.35068132645802,240.46008852680677,0.7111909328135315,0.8333333333333334,0.6944444444444445,31855.5,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
경기,2022,45002.843587,72.0,281.0,7815.0,309.0,0.0,8477.0,14.7,1992807.0,13589432.0,20.0,266.0,1100.0,30887.0,158.0,18243.0,521.0,12994.0,1252.0,202.0,65643.0,0.004356833830967034,48.304447161588506,6.237935478097981,33.11605929298591,225.82640259192186,0.6855591308725855,0.9166666666666666,0.8402777777777777,33129.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
경기,2023,39684.9171,71.0,286.0,8075.0,303.0,0.0,8735.0,15.6,2122718.0,13630821.0,20.0,264.0,1132.0,32039.0,168.0,18671.0,568.0,13137.0,1224.0,200.0,67423.0,0.0042121499762695774,49.46363832376641,6.408271372648793,29.114106259630287,186.9533169266949,0.5885874035951589,1.0,1.0,34325.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
경남,2011,6448.7,25.0,137.0,1632.0,125.0,1.0,1923.0,12.1,399530.0,3308765.0,4.0,90.0,554.0,5894.0,51.0,2858.0,8.0,2710.0,302.0,0.0,12471.0,0.007536882617062219,37.690800041707405,5.811836138257023,19.48974919645245,161.40715340525117,0.517054201411161,0.0,0.0,6917.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
경남,2012,7604.6,25.0,137.0,1632.0,125.0,1.0,1923.0,12.5,414831.0,3319314.0,4.0,92.0,554.0,5916.0,56.0,2954.0,12.0,2804.0,338.0,0.0,12730.0,0.00754064880999136,38.35129788866013,5.793365737619279,22.910155532137065,183.3180258948825,0.5973293535464614,0.08333333333333333,0.006944444444444444,6943.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
경남,2013,8413.17607,25.0,137.0,1632.0,125.0,1.0,1923.0,12.9,431645.0,3333820.0,4.0,92.0,566.0,5933.0,56.0,3029.0,19.0,2900.0,363.0,0.0,12962.0,0.007405693126591067,38.88032347277297,5.768157848954052,25.235843776808583,194.9096148455328,0.6490145853583275,0.16666666666666666,0.027777777777777776,6978.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
