Index,Name,Lat,Lng,Type
0,리뉴에너지메트로 주식회사,37.93506753555249,127.00987662429206,Depot
1,㈜한국의료환경,37.093851307,127.141305826,Depot
2,(주)엔비텍코리아,38.049793137,127.215328136,Depot
3,(주)경서,35.176312753,128.125795491,Depot
4,엔씨메디(주),35.329746263,129.160839182,Depot
5,리뉴에너지충남 주식회사,36.216169377,127.277010364,Depot
6,창광실업(주),36.8835105,127.209052643,Depot
7,주식회사 에코비트에너지진천,36.815487889,127.376379898,Depot
8,(주)에코비트에너지광주,35.078278001,126.865644286,Depot
9,리뉴에너지전남 주식회사,34.80660702,127.013929265,Depot
10,주식회사 에코비트에너지경산,35.893261849,128.859155946,Depot
11,(주)에코비트에너지경주,35.972879705,129.165354509,Depot
12,㈜아림환경,35.791275121,128.389132953,Depot
13,강원 강릉시,37.70315522445061,128.99687250179224,Node
14,강원 고성군,38.38259579728822,128.45726424724657,Node
15,강원 동해시,37.576461519719615,129.06918887882802,Node
16,강원 삼척시,37.143614771970206,129.16060140386048,Node
17,강원 속초시,38.19493603012331,128.57340969964747,Node
18,강원 양구군,38.13981617776665,128.073684264241,Node
19,강원 양양군,38.12909415073402,128.56760009424744,Node
20,강원 영월군,37.119693083992374,128.53949922787496,Node
21,강원 원주시,37.392820899530264,127.95049333050449,Node
22,강원 인제군,37.933033389462935,128.4396661082251,Node
23,강원 정선군,37.182483187495265,128.8923281766059,Node
24,강원 철원군,38.128520894305765,127.30052717107804,Node
25,강원 춘천시,37.88182216103176,127.73896241774918,Node
26,강원 태백시,37.097989129539016,128.99672443639452,Node
27,강원 평창군,37.76446824326912,128.65553913975668,Node
28,강원 홍천군,37.68009805065563,127.78473654174,Node
29,강원 화천군,38.02712459522088,127.85001641148013,Node
30,강원 횡성군,37.53501403182297,128.08325348458257,Node
31,경기 가평군,37.87764158907527,127.60180374043978,Node
32,경기 고양시,37.610113931472895,126.85468704369772,Node
33,경기 과천시,37.41799899288226,126.98720914214908,Node
34,경기 광명시,37.423791507755304,126.8699539125544,Node
35,경기 광주시,37.4124536194621,127.26408482411696,Node
36,경기 구리시,37.6410601049942,127.13117245051822,Node
37,경기 군포시,37.37660499845743,126.94510411053356,Node
38,경기 김포시,37.63327389485971,126.67506750170662,Node
39,경기 남양주시,37.63871469599157,127.2267211511412,Node
40,경기 동두천시,37.921449519333706,127.11558648654844,Node
41,경기 부천시,37.46770354827967,126.8061368788544,Node
42,경기 성남시,37.339677884341555,127.12954841850998,Node
43,경기 수원시,37.256119105725645,126.98409031119066,Node
44,경기 시흥시,37.37007966560625,126.75953307178392,Node
45,경기 안산시,37.33572603910012,126.83683619348416,Node
46,경기 안성시,37.02134729841994,127.28547275444105,Node
47,경기 안양시,37.41421496039298,126.97212742660348,Node
48,경기 양주시,37.838153982493665,127.07139550726862,Node
49,경기 양평군,37.47523395018351,127.49278246101,Node
50,경기 여주시,37.19437464749045,127.5552738847466,Node
51,경기 연천군,38.0243667040578,127.05293030762796,Node
52,경기 오산시,37.148009853493946,127.0486155445332,Node
53,경기 용인시,37.21954825547015,127.14877590761904,Node
54,경기 의왕시,37.33663677309781,126.97203429134252,Node
55,경기 의정부시,37.74782253049023,127.05210405189185,Node
56,경기 이천시,37.291699086760374,127.4760542348024,Node
57,경기 파주시,37.79536340031584,126.75733041254384,Node
58,경기 평택시,37.04662198953441,127.09828691696823,Node
59,경기 포천시,37.83066642070466,127.18280971315076,Node
